stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
10158,E 120th Ave & Washington St,, 39.91422,-104.97908,,
10159,12th Ave & Broadway,, 39.73524,-104.98692,,
10160,12th Ave & Corona St,, 39.73510,-104.97360,,
10161,12th Ave & Downing St,, 39.73519,-104.97348,,
10162,12th Ave & Elizabeth St,, 39.73510,-104.95601,,
10163,12th Ave & Elizabeth St,, 39.73519,-104.95608,,
10164,12th Ave & Emerson St,, 39.73510,-104.97616,,
10166,12th Ave & Fillmore St,, 39.73508,-104.95262,,
10167,12th Ave & Fillmore St,, 39.73517,-104.95261,,
10168,12th Ave & Grant St,, 39.73523,-104.98329,,
10169,12th Ave & Grant St,, 39.73533,-104.98401,,
10170,12th Ave & Humboldt St,, 39.73515,-104.96845,,
10171,12th Ave & Humboldt St,, 39.73522,-104.96875,,
10172,12th Ave & Jackson St,, 39.73505,-104.94320,,
10174,12th Ave & Josephine St,, 39.73509,-104.95912,,
10175,12th Ave & Madison St,, 39.73507,-104.94590,,
10176,12th Ave & Madison St,, 39.73517,-104.94646,,
10177,12th Ave & Pennsylvania St,, 39.73510,-104.98060,,
10178,12th Ave & Pennsylvania St,, 39.73518,-104.98139,,
10179,12th Ave & Race St,, 39.73501,-104.96322,,
10180,12th Ave & Race St,, 39.73509,-104.96376,,
10181,12th Ave & Steele St,, 39.73506,-104.94890,,
10182,12th Ave & Steele St,, 39.73519,-104.94986,,
10184,12th Ave & Vine St,, 39.73500,-104.96198,,
10185,12th Ave & Vine St,, 39.73509,-104.96256,,
10186,12th Ave & Washington St,, 39.73509,-104.97837,,
10187,12th Ave & Washington St,, 39.73524,-104.97904,,
10188,12th Ave & Gilpin St,, 39.73606,-104.96647,,
10189,12th Ave & High St,, 39.73611,-104.96628,,
10190,12th Ave & York St,, 39.73500,-104.95948,,
10197,13th Ave & 13th Cir,, 39.73591,-104.81878,,
10201,W 13th Ave & Broadway,, 39.73691,-104.98786,,
10204,W 13th Ave & Cherokee St,, 39.73693,-104.99205,,
10205,13th Ave & Colorado Blvd,, 39.73679,-104.94120,,
