stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
4028,PROMENADE TERMINAL PLATFORM 6,ACCESS WAYS,43.809192,-79.454215,,
4031,PROMENADE TERMINAL PLATFORM 8,ACCESS WAYS,43.809622,-79.454416,,
4032,CENTRE ST / BATHURST ST,,43.810934,-79.449061,,
4033,CENTRE ST / ATKINSON AV,,43.812104,-79.443684,,
4034,CENTRE ST OP ROSE GREEN DR,,43.813223,-79.43862,,
4035,CENTRE ST / MARKWOOD LANE,,43.81374,-79.436268,,
4036,CENTRE ST OP OAKBANK RD,,43.814537,-79.432654,,
4037,CENTRE ST / BROOKE ST,,43.815638,-79.427589,,
4038,CENTRE ST / YONGE ST,,43.816341,-79.425059,,
4039,CENTRE ST / YONGE ST,,43.816181,-79.425176,,
4040,CENTRE ST OP BROOKE ST,,43.815858,-79.427223,,
4041,CENTRE ST / OAKBANK RD,,43.814791,-79.432113,,
4042,CENTRE ST / ERICA RD,,43.813994,-79.435777,,
4043,CENTRE ST / ROSE GREEN DR,,43.813487,-79.438165,,
4044,CENTRE ST / ATKINSON AV,,43.812541,-79.442765,,
4045,CENTRE ST / BATHURST ST,,43.811027,-79.449578,,
4046,CENTRE ST / NEW WESTMINSTER DR,,43.809646,-79.457001,,
4047,CENTRE ST STOP # 4047,CENTRE ST & HWY 7,43.809024,-79.459568,,
4048,CENTRE ST / VAUGHAN BLVD,,43.808084,-79.464004,,
4049,CENTRE ST / CONCORD RD,,43.807074,-79.468593,,
4050,RAVENSHOE RD / WEST PARK HEIGHTS,,44.192707,-79.467248,,
4051,LAKE DR / RAVENSHOE RD,,44.191128,-79.479102,,
4052,LAKE DR OP ROBERT ST,,44.195644,-79.480199,,
4053,LAKE DR / WALTER DR,,44.19976,-79.478254,,
4054,WALTER DR STOP # 4054,,44.201417,-79.470902,,
4055,WALTER DR / THE QUEENSWAY,,44.201834,-79.467049,,
4056,JOE DALES DR / THORNLODGE DR,,44.199608,-79.45956,,
4057,THORNLODGE DR / BRECKEN DR,,44.197154,-79.458511,,
4058,THORNLODGE DR / RAVENSHOE RD,,44.195027,-79.45764,,
4059,RAVENSHOE RD / LAURENDALE AV,,44.194306,-79.460249,,
4060,RAVENSHOE RD / THE QUEENSWAY,,44.193449,-79.464113,,
4061,THE QUEENSWAY / BRECKEN DR,,44.195347,-79.464727,,
4062,THE QUEENSWAY / JOE DALES DR,,44.198752,-79.465527,,
4063,THE QUEENSWAY OP WALTER DR,,44.201861,-79.466373,,
4064,THE QUEENSWAY OP LAKEVIEW BLVD,,44.208672,-79.466734,,
4066,THE QUEENSWAY STOP # 4066,,44.214692,-79.464537,,
4067,THE QUEENSWAY / BAYVIEW AV,,44.219139,-79.465148,,
4070,LOWNDES AV / ATHERTON CRES,,44.215521,-79.46051,,
4071,LOWNDES AV / GLENWOODS AV,,44.213508,-79.460175,,
4072,GLENWOODS AV STOP # 4072,,44.212984,-79.462041,,
4074,THE QUEENSWAY / BISCAYNE BLVD,,44.223284,-79.465366,,
4075,THE QUEENSWAY / RIVERGLEN DR,,44.225736,-79.464275,,
4079,SIMCOE AV / METRO RD,,44.241417,-79.474199,,
4080,SIMCOE AV STOP # 4080,SIMCOE AVE,44.242245,-79.471365,,
4081,THE QUEENSWAY / CHURCH ST,,44.243561,-79.471614,,
4082,CHURCH ST / CIRCLE RIDGE DR,,44.244042,-79.469861,,
4083,CHURCH ST STOP # 4083,,44.245077,-79.465125,,
4084,NATANYA BLVD / CHURCH ST,,44.245864,-79.459393,,
4085,NATANYA BLVD / AILSA DR,,44.242805,-79.456868,,
4086,NATANYA BLVD / WEXFORD DR,,44.240207,-79.455846,,
4087,WEXFORD DR / SHERIE DR,,44.240018,-79.454524,,
4088,WEXFORD DR / WOODBINE AV,,44.240244,-79.451287,,
4089,CHURCH ST / WOODBINE AV,,44.247587,-79.453637,,
