route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
4,S,40S1010,0,434,4.0.12,
4,S,40S1020,0,435,4.0.11,
4,S,40S1025,0,436,4.0.11,
4,S,40S1030,0,437,4.0.11,
4,S,40S1035,0,438,4.0.11,
4,S,40S1040,0,439,4.0.11,
4,S,40S1050,0,401,4.0.11,
4,S,40S1060,0,440,4.0.11,
4,S,40S1070,0,434,4.0.11,
4,S,40S1080,0,441,4.0.11,
4,S,40S1090,0,402,4.0.11,
4,S,40S1100,0,403,4.0.11,
4,S,40S1110,0,435,4.0.11,
4,S,40S1120,0,404,4.0.11,
4,S,40S1130,0,436,4.0.11,
4,S,40S1140,0,405,4.0.11,
4,S,40S1150,0,443,4.0.11,
4,S,40S1160,0,437,4.0.11,
4,S,40S1170,0,406,4.0.11,
4,S,40S1180,0,438,4.0.11,
4,S,40S1190,0,442,4.0.11,
4,S,40S1200,0,439,4.0.11,
4,S,40S1210,0,407,4.0.11,
4,S,40S1220,0,401,4.0.11,
4,S,40S1230,0,440,4.0.11,
4,S,40S1240,0,434,4.0.11,
4,S,40S1250,0,441,4.0.11,
4,S,40S1260,0,402,4.0.11,
4,S,40S1270,0,403,4.0.11,
4,S,40S1280,0,435,4.0.11,
4,S,40S1290,0,404,4.0.11,
4,S,40S1300,0,436,4.0.11,
4,S,40S1310,0,405,4.0.11,
4,S,40S1320,0,443,4.0.11,
4,S,40S1330,0,437,4.0.11,
4,S,40S1340,0,406,4.0.11,
4,S,40S1350,0,438,4.0.11,
4,S,40S1360,0,442,4.0.11,
4,S,40S1370,0,439,4.0.11,
4,S,40S1380,0,407,4.0.11,
4,S,40S1390,0,401,4.0.11,
4,S,40S1400,0,440,4.0.11,
4,S,40S1410,0,434,4.0.11,
4,S,40S1420,0,441,4.0.11,
4,S,40S1430,0,402,4.0.11,
4,S,40S1440,0,403,4.0.11,
4,S,40S1450,0,435,4.0.11,
4,S,40S1460,0,404,4.0.11,
4,S,40S1470,0,436,4.0.11,
4,S,40S1480,0,405,4.0.11,
4,S,40S1490,0,443,4.0.11,
4,S,40S1500,0,437,4.0.11,
4,S,40S1510,0,406,4.0.11,
4,S,40S1520,0,438,4.0.11,
4,S,40S1530,0,1204,4.0.11,
4,S,40S1540,0,439,4.0.11,
4,S,40S1550,0,1238,4.0.11,
4,S,40S1560,0,401,4.0.11,
4,S,40S1570,0,434,4.0.11,
4,S,40S1580,0,441,4.0.11,
4,S,40S1610,0,402,4.0.12,
