stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
13012,ERVAY @ SANGER - N - FS,,32.765266,-96.781243,,
13013,ERVAY @ RICHARDSON - N - NS,,32.767913,-96.784073,,
13014,ERVAY @ CORINTH - N - NS,,32.768413,-96.784798,,
13015,ERVAY @ BEAUMONT - N - FS,,32.770381,-96.787667,,
13018,ERVAY @ BLAKENEY - N - NS,,32.772777,-96.791001,,
13019,ERVAY @ GRIFFIN E - N - NS,,32.773361,-96.791787,,
13020,ERVAY @ MARILLA - N - NS,,32.776847,-96.795754,,
13021,ERVAY @ YOUNG - N - NS,,32.777801,-96.796135,,
13023,ST PAUL @ CADIZ - S - NS,,32.776363,-96.793374,,
13024,ST PAUL @ ST LOUIS - S - MB,,32.775379,-96.792199,,
13027,ERVAY @ MCKEE - S - NS,,32.770851,-96.78846,,
13028,ERVAY @ BEAUMONT - S - NS,,32.770229,-96.787598,,
13030,ERVAY @ CORINTH - S - NS,,32.768631,-96.785256,,
13031,ERVAY @ PARKER - S - NS,,32.767734,-96.783982,,
13032,ERVAY @ SANGER - S - NS,,32.765129,-96.781212,,
13033,ERVAY @ GRAND - S - NS,,32.764449,-96.780533,,
13034,ERVAY @ SOUTH - S - NS,,32.762542,-96.778504,,
13035,COLONIAL @ MLK - S - NS,,32.762065,-96.77697,,
13036,COLONIAL @ PENNSYLVANIA - S - MB,,32.760925,-96.775544,,
13037,PENNSYLVANIA @ HARWOOD - E - NS,,32.761684,-96.773331,,
13038,HARWOOD @ WARREN - S - NS,,32.760921,-96.771996,,
13039,HARWOOD @ COOPER - S - NS,,32.759254,-96.770256,,
13040,COOPER @ WENDELKIN - S - NS,,32.758442,-96.770874,,
13041,COOPER @ COLONIAL - S - NS,,32.757724,-96.771744,,
13042,COLONIAL @ METROPOLITAN - S - FS,,32.756382,-96.770478,,
13043,COLONIAL @ HICKMAN - S - NS,,32.754371,-96.768189,,
13044,COLONIAL @ PINE - S - NS,,32.752349,-96.766457,,
13045,COLONIAL @ MARBURG - S - NS,,32.750145,-96.764153,,
13046,COLONIAL @ HATCHER - S - NS,,32.748873,-96.762485,,
13048,LAMAR @ EMERY - S - FS,,32.74554,-96.761513,,
13049,LAMAR @ STARKS - S - NS,,32.744605,-96.760559,,
13050,LAMAR @ SH 310 - S - NS,,32.734375,-96.758133,,
13060,ABRAMS @ WORTH - S - NS,,32.809921,-96.752945,,
13061,ABRAMS @ TREMONT - S - NS,,32.808742,-96.753052,,
13062,ABRAMS @ GASTON - N - FS,,32.81475,-96.752442,,
13063,ABRAMS @ VICTOR - S - NS,,32.804842,-96.755754,,
13064,ABRAMS @ BEACON - S - NS,,32.801529,-96.75631,,
13065,COLUMBIA @ ORIENT - S - NS,,32.799438,-96.758538,,
13066,COLUMBIA @ MUNGER - S - NS,,32.797695,-96.760697,,
13067,COLUMBIA @ COLLETT - S - NS,,32.796836,-96.761727,,
13068,COLUMBIA @ FITZHUGH - S - NS,,32.795299,-96.763596,,
13069,COLUMBIA @ PRAIRIE - S - NS,,32.794499,-96.764703,,
13070,COLUMBIA @ COLSON - S - NS,,32.792941,-96.76648,,
13071,COLUMBIA @ CARROLL - S - NS,,32.791828,-96.767699,,
13072,MAIN @ PEAK - S - FS,,32.789485,-96.76973,,
13073,MAIN @ HASKELL - S - NS,,32.788738,-96.770615,,
13074,MAIN @ HILL - S - NS,,32.787807,-96.771744,,
13075,ELM @ HALL - W - NS,,32.785633,-96.778946,,
13076,ELM @ MALCOLM X - W - NS,,32.784965,-96.782326,,
13077,ELM @ GOOD-LATIMER - W - FS,,32.784065,-96.786957,,
13079,MAIN @ HALL - E - NS,,32.784765,-96.779039,,
13080,MAIN @ EXPOSITION - E - NS,,32.78556,-96.775185,,
13081,MAIN @ HILL - N - NS,,32.787563,-96.771836,,
13082,MAIN @ HASKELL - N - NS,,32.788349,-96.77089,,
13083,MAIN @ PEAK - N - NS,,32.789848,-96.76902,,
13084,MAIN @ CARROLL - N - NS,,32.791404,-96.767525,,
13085,COLUMBIA @ COLSON - N - NS,,32.792465,-96.766762,,
13086,COLUMBIA @ PRAIRIE - N - NS,,32.794143,-96.764725,,
13087,COLUMBIA @ FITZHUGH - N - NS,,32.816413,-96.792502,,
13088,COLUMBIA @ COLLETT - N - NS,,32.796279,-96.762116,,
13089,COLUMBIA @ MUNGER - N - NS,,32.796787,-96.761498,,
13090,COLUMBIA @ ST MARY - N - NS,,32.79758,-96.760506,,
13091,COLUMBIA @ ORIENT - N - NS,,32.799163,-96.758515,,
13092,COLUMBIA @ BEACON - N - NS,,32.800815,-96.756562,,
13093,ABRAMS @ FULTON - N - NS,,32.801884,-96.755819,,
